POSICAO;MARCA/MODELO;UNIDADES;ANO;MES;CATEGORIA;COL_AUXILIAR;MARCA;MODELO
1;GM/ONIX;10567;2021;1;AUTOMOVEIS NOVOS;3;GM;ONIX
2;HYUNDAI/HB20;7936;2021;1;AUTOMOVEIS NOVOS;8;HYUNDAI;HB20
3;GM/ONIX-PLUS;7139;2021;1;AUTOMOVEIS NOVOS;3;GM;ONIX-PLUS
4;JEEP/RENEGADE;7091;2021;1;AUTOMOVEIS NOVOS;5;JEEP;RENEGADE
5;VW/GOL;6277;2021;1;AUTOMOVEIS NOVOS;3;VW;GOL
6;VW/T-CROSS;5241;2021;1;AUTOMOVEIS NOVOS;3;VW;T-CROSS
7;JEEP/COMPASS;5029;2021;1;AUTOMOVEIS NOVOS;5;JEEP;COMPASS
8;FIAT/ARGO;5021;2021;1;AUTOMOVEIS NOVOS;5;FIAT;ARGO
9;FIAT/MOBI;4784;2021;1;AUTOMOVEIS NOVOS;5;FIAT;MOBI
10;GM/TRACKER;4593;2021;1;AUTOMOVEIS NOVOS;3;GM;TRACKER
11;HYUNDAI/CRETA;4067;2021;1;AUTOMOVEIS NOVOS;8;HYUNDAI;CRETA
12;RENAULT/KWID;3896;2021;1;AUTOMOVEIS NOVOS;8;RENAULT;KWID
13;VW/NIVUS;3481;2021;1;AUTOMOVEIS NOVOS;3;VW;NIVUS
14;FORD/KA;3433;2021;1;AUTOMOVEIS NOVOS;5;FORD;KA
15;NISSAN/KICKS;3072;2021;1;AUTOMOVEIS NOVOS;7;NISSAN;KICKS
16;HONDA/HR-V;2658;2021;1;AUTOMOVEIS NOVOS;6;HONDA;HR-V
17;VW/POLO;2460;2021;1;AUTOMOVEIS NOVOS;3;VW;POLO
18;TOYOTA/COROLLA;2224;2021;1;AUTOMOVEIS NOVOS;7;TOYOTA;COROLLA
19;VW/VOYAGE;2192;2021;1;AUTOMOVEIS NOVOS;3;VW;VOYAGE
20;FIAT/UNO;2059;2021;1;AUTOMOVEIS NOVOS;5;FIAT;UNO
21;HYUNDAI/HB20S;1915;2021;1;AUTOMOVEIS NOVOS;8;HYUNDAI;HB20S
22;VW/VIRTUS;1903;2021;1;AUTOMOVEIS NOVOS;3;VW;VIRTUS
23;TOYOTA/YARIS-HB;1838;2021;1;AUTOMOVEIS NOVOS;7;TOYOTA;YARIS-HB
24;HONDA/CIVIC;1732;2021;1;AUTOMOVEIS NOVOS;6;HONDA;CIVIC
25;FORD/ECOSPORT;1576;2021;1;AUTOMOVEIS NOVOS;5;FORD;ECOSPORT
26;RENAULT/DUSTER;1536;2021;1;AUTOMOVEIS NOVOS;8;RENAULT;DUSTER
27;TOYOTA/YARIS-SEDAN;1461;2021;1;AUTOMOVEIS NOVOS;7;TOYOTA;YARIS-SEDAN
28;VW/CROSSFOX;1283;2021;1;AUTOMOVEIS NOVOS;3;VW;CROSSFOX
29;FIAT/SIENA;1257;2021;1;AUTOMOVEIS NOVOS;5;FIAT;SIENA
30;RENAULT/SANDERO;1184;2021;1;AUTOMOVEIS NOVOS;8;RENAULT;SANDERO
31;RENAULT/CAPTUR;1159;2021;1;AUTOMOVEIS NOVOS;8;RENAULT;CAPTUR
32;RENAULT/LOGAN;1153;2021;1;AUTOMOVEIS NOVOS;8;RENAULT;LOGAN
33;NISSAN/VERSA;1094;2021;1;AUTOMOVEIS NOVOS;7;NISSAN;VERSA
34;FIAT/CRONOS;1031;2021;1;AUTOMOVEIS NOVOS;5;FIAT;CRONOS
35;CAOACHERY/TIGGO5X;961;2021;1;AUTOMOVEIS NOVOS;10;CAOACHERY;TIGGO5X
36;FORD/KA-SEDAN;934;2021;1;AUTOMOVEIS NOVOS;5;FORD;KA-SEDAN
37;HONDA/FIT;818;2021;1;AUTOMOVEIS NOVOS;6;HONDA;FIT
38;NISSAN/V-DRIVE;795;2021;1;AUTOMOVEIS NOVOS;7;NISSAN;V-DRIVE
39;GM/SPIN;782;2021;1;AUTOMOVEIS NOVOS;3;GM;SPIN
40;PEUGEOT/208;778;2021;1;AUTOMOVEIS NOVOS;8;PEUGEOT;208
41;TOYOTA/HILUX-SW4;701;2021;1;AUTOMOVEIS NOVOS;7;TOYOTA;HILUX-SW4
42;HONDA/CITY;604;2021;1;AUTOMOVEIS NOVOS;6;HONDA;CITY
43;HONDA/WR-V;569;2021;1;AUTOMOVEIS NOVOS;6;HONDA;WR-V
44;VW/UP;514;2021;1;AUTOMOVEIS NOVOS;3;VW;UP
45;CITROEN/C4-CACTUS;487;2021;1;AUTOMOVEIS NOVOS;8;CITROEN;C4-CACTUS
46;PEUGEOT/2008;420;2021;1;AUTOMOVEIS NOVOS;8;PEUGEOT;2008
47;CAOACHERY/TIGGO;420;2021;1;AUTOMOVEIS NOVOS;10;CAOACHERY;TIGGO
48;CAOACHERY/TIGGO8;404;2021;1;AUTOMOVEIS NOVOS;10;CAOACHERY;TIGGO8
49;VW/JETTA;402;2021;1;AUTOMOVEIS NOVOS;3;VW;JETTA
50;GM/TRAILBLAZER;398;2021;1;AUTOMOVEIS NOVOS;3;GM;TRAILBLAZER
1;GM/ONIX;10261;2021;2;AUTOMOVEIS NOVOS;3;GM;ONIX
2;HYUNDAI/HB20;7717;2021;2;AUTOMOVEIS NOVOS;8;HYUNDAI;HB20
3;GM/ONIX-PLUS;6501;2021;2;AUTOMOVEIS NOVOS;3;GM;ONIX-PLUS
4;FIAT/ARGO;6221;2021;2;AUTOMOVEIS NOVOS;5;FIAT;ARGO
5;FIAT/MOBI;6015;2021;2;AUTOMOVEIS NOVOS;5;FIAT;MOBI
6;VW/GOL;5847;2021;2;AUTOMOVEIS NOVOS;3;VW;GOL
7;JEEP/RENEGADE;5834;2021;2;AUTOMOVEIS NOVOS;5;JEEP;RENEGADE
8;VW/T-CROSS;5524;2021;2;AUTOMOVEIS NOVOS;3;VW;T-CROSS
9;GM/TRACKER;5042;2021;2;AUTOMOVEIS NOVOS;3;GM;TRACKER
10;RENAULT/KWID;4905;2021;2;AUTOMOVEIS NOVOS;8;RENAULT;KWID
11;HYUNDAI/CRETA;4826;2021;2;AUTOMOVEIS NOVOS;8;HYUNDAI;CRETA
12;JEEP/COMPASS;4634;2021;2;AUTOMOVEIS NOVOS;5;JEEP;COMPASS
13;HONDA/HR-V;3703;2021;2;AUTOMOVEIS NOVOS;6;HONDA;HR-V
14;VW/NIVUS;3467;2021;2;AUTOMOVEIS NOVOS;3;VW;NIVUS
15;NISSAN/KICKS;3230;2021;2;AUTOMOVEIS NOVOS;7;NISSAN;KICKS
16;TOYOTA/COROLLA;2817;2021;2;AUTOMOVEIS NOVOS;7;TOYOTA;COROLLA
17;VW/POLO;2555;2021;2;AUTOMOVEIS NOVOS;3;VW;POLO
18;VW/VIRTUS;2162;2021;2;AUTOMOVEIS NOVOS;3;VW;VIRTUS
19;VW/VOYAGE;2107;2021;2;AUTOMOVEIS NOVOS;3;VW;VOYAGE
20;FIAT/UNO;1963;2021;2;AUTOMOVEIS NOVOS;5;FIAT;UNO
21;TOYOTA/YARIS-HB;1963;2021;2;AUTOMOVEIS NOVOS;7;TOYOTA;YARIS-HB
22;HYUNDAI/HB20S;1934;2021;2;AUTOMOVEIS NOVOS;8;HYUNDAI;HB20S
23;HONDA/CIVIC;1677;2021;2;AUTOMOVEIS NOVOS;6;HONDA;CIVIC
24;FORD/KA;1488;2021;2;AUTOMOVEIS NOVOS;5;FORD;KA
25;RENAULT/DUSTER;1436;2021;2;AUTOMOVEIS NOVOS;8;RENAULT;DUSTER
26;TOYOTA/YARIS-SEDAN;1391;2021;2;AUTOMOVEIS NOVOS;7;TOYOTA;YARIS-SEDAN
27;VW/CROSSFOX;1309;2021;2;AUTOMOVEIS NOVOS;3;VW;CROSSFOX
28;RENAULT/SANDERO;1279;2021;2;AUTOMOVEIS NOVOS;8;RENAULT;SANDERO
29;FIAT/SIENA;1198;2021;2;AUTOMOVEIS NOVOS;5;FIAT;SIENA
30;RENAULT/LOGAN;1023;2021;2;AUTOMOVEIS NOVOS;8;RENAULT;LOGAN
31;NISSAN/VERSA;1015;2021;2;AUTOMOVEIS NOVOS;7;NISSAN;VERSA
32;TOYOTA/HILUX-SW4;846;2021;2;AUTOMOVEIS NOVOS;7;TOYOTA;HILUX-SW4
33;HONDA/WR-V;830;2021;2;AUTOMOVEIS NOVOS;6;HONDA;WR-V
34;VW/UP;762;2021;2;AUTOMOVEIS NOVOS;3;VW;UP
35;GM/SPIN;717;2021;2;AUTOMOVEIS NOVOS;3;GM;SPIN
36;CAOACHERY/TIGGO5X;642;2021;2;AUTOMOVEIS NOVOS;10;CAOACHERY;TIGGO5X
